ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
BBW,Build-A-Bear Workshop,US,Consumer Cyclical,39.79,415.41,515114176,Small,9.972431,49.5,43.50,54.27,5,4,0.000,41
DKS,Dick's Sporting Goods,US,Consumer Cyclical,228.51,175.78,20560142336,Large,22.944277,75.8,201.97,212.95,10,3,0.000,39
CHWY,Chewy,US,Consumer Cyclical,28.225,-63.34,11760707584,Large,54.27885,62.0,25.88,33.26,3,2,0.000,32
BROS,Dutch Bros,US,Consumer Cyclical,53.93,65.94,8881825792,Mid,84.21876,54.8,51.91,57.87,3,2,0.000,34
CAVA,Cava Group,US,Consumer Cyclical,95.255,126.80,11082655744,Large,176.35185,70.4,79.79,69.13,9,6,0.000,45
WING,Wingstop,US,Consumer Cyclical,192.635,39.33,5282534400,Mid,30.950079,52.6,209.55,260.21,5,2,0.000,33
TXRH,Texas Roadhouse,US,Consumer Cyclical,164.155,68.97,10821942272,Large,26.954844,46.3,172.54,174.01,5,4,0.000,43
BIRK,Birkenstock,US,Consumer Cyclical,39.59,-3.44,7280840704,Mid,16.495832,58.9,38.05,43.04,3,2,0.000,48
ONON,On Holding,US,Consumer Cyclical,36.4,2.82,12038379520,Large,46.628204,49.7,39.99,44.05,7,2,0.000,29
CROX,Crocs,US,Consumer Cyclical,109.49,45.85,5684244992,Mid,,80.6,88.97,87.37,5,6,0.000,55
W,Wayfair,US,Consumer Cyclical,79.225,-74.77,10359105536,Large,,54.8,77.59,86.12,6,2,0.000,35
ETSY,Etsy,US,Consumer Cyclical,62.77,-69.66,6195776000,Mid,45.158276,73.8,52.90,58.40,12,2,0.000,29
NWL,Newell Brands,US,Consumer Cyclical,4.305,-83.75,1829314048,Small,,64.2,4.11,4.58,5,2,0.000,40
PHM,PulteGroup,US,Consumer Cyclical,127.585,142.97,24514381824,Large,11.473472,60.0,126.61,124.81,0,5,0.000,60
TOL,Toll Brothers,US,Consumer Cyclical,146.92,151.40,13920653312,Large,10.547021,59.6,146.29,137.90,0,5,0.000,61
TPR,Tapestry,US,Consumer Cyclical,154.37,254.71,31591782400,Large,59.602318,59.9,148.86,122.11,2,7,0.000,53
GRMN,Garmin,US,Consumer Cyclical,267.1,93.27,51411632128,Large,31.130537,70.9,240.12,226.16,5,7,0.000,55
GPC,Genuine Parts,US,Consumer Cyclical,112.905,-5.32,15707595776,Large,240.22362,58.3,114.50,127.88,6,4,0.000,32
LEA,Lear Corp,US,Consumer Cyclical,127.93,-25.66,6489563648,Mid,15.696934,60.2,125.01,112.37,3,5,0.000,58
BWA,BorgWarner,US,Consumer Cyclical,55.78,32.21,11549179904,Large,43.578125,57.1,55.26,46.04,0,8,0.000,62
USFD,US Foods,US,Consumer Defensive,93.65,145.99,20653754368,Large,31.85374,57.0,92.65,81.64,0,8,0.000,63
SJM,J.M. Smucker,US,Consumer Defensive,95.41,-28.00,10179705856,Large,,44.6,103.04,104.82,4,4,0.000,44
