ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
BNZL.L,Bunzl,UK,Industrials,21.900000000000002,-2.67,7058145280,Mid,15.531915,48.2,21.43,22.58,5,0,0.000,48
CRDA.L,Croda International,UK,Materials,25.54,-58.98,3565149440,Mid,58.045456,34.2,28.40,27.79,4,4,0.000,43
ENT.L,Entain,UK,Consumer Cyclical,5.44,-65.05,3479444480,Mid,,39.0,6.05,7.83,5,4,0.000,41
FRES.L,Fresnillo,UK,Materials,30.68,218.19,22607894528,Large,21.914286,32.6,37.93,25.63,2,5,0.000,63
ADM.L,Admiral Group,UK,Financials,32.08,7.83,9588776960,Mid,13.201647,62.7,29.41,32.04,5,4,0.000,60
BEZ.L,Beazley,UK,Financials,12.64,263.01,7445264896,Mid,11.703704,58.5,11.94,9.47,2,8,0.000,76
DPLM.L,Diploma,UK,Industrials,57.25,131.78,7676929536,Mid,41.788322,59.5,54.63,53.39,2,7,0.000,59
EDV.L,Endeavour Mining,UK,Materials,40.04,52.71,9692572672,Mid,19.62745,34.5,44.91,33.19,2,5,0.000,67
ITRK.L,Intertek Group,UK,Industrials,35.92,-33.65,5514522112,Mid,16.629627,27.8,43.09,46.48,10,7,0.000,46
IMI.L,IMI,UK,Industrials,25.62,97.23,6291339776,Mid,20.661291,34.2,27.64,24.18,2,3,0.000,59
AJB.L,AJ Bell,UK,Fintech,4.504,7.88,1790870016,Small,17.323076,54.1,4.44,4.93,3,2,0.000,49
AML.L,Aston Martin,UK,Consumer Cyclical,0.36700000000000005,-95.10,370975616,Small,,24.0,0.54,0.67,8,5,0.000,29
GRG.L,Greggs,UK,Consumer Cyclical,15.43,-25.10,1571371776,Small,12.966386,34.8,16.24,16.51,8,0,0.000,46
ITV.L,ITV,UK,Communication,0.779,-37.20,2908683264,Mid,12.983335,40.4,0.81,0.80,4,2,0.000,58
DOM.L,Domino's Pizza Group,UK,Consumer Cyclical,1.7280000000000002,-53.17,659418048,Small,11.5199995,31.8,1.89,2.01,8,2,0.000,51
IGG.L,IG Group,UK,Fintech,14.5,66.09,4831098368,Mid,13.809525,72.3,13.51,11.82,7,7,0.000,67
DOCS.L,Dr. Martens,UK,Consumer Cyclical,0.6285000000000001,-86.52,607513344,Small,31.425,39.0,0.68,0.79,9,0,0.000,37
SCT.L,Softcat,UK,Technology,12.41,-21.21,2435890176,Mid,18.80303,61.1,12.43,14.89,8,2,0.000,44
BYIT.L,Bytes Technology,UK,Technology,3.028,-27.00,715728640,Small,14.419047,47.0,3.14,3.66,7,2,0.000,45
KNOS.L,Kainos Group,UK,Technology,7.265000000000001,-47.81,853280000,Small,29.06,40.1,8.10,8.59,10,2,0.000,38
TRN.L,Trainline,UK,Technology,2.128,-53.44,798192128,Small,12.517647,64.0,2.01,2.45,5,2,0.000,50
DNLM.L,Dunelm,UK,Consumer Cyclical,8.115,-39.03,1633448576,Small,10.966216,23.8,9.42,10.94,8,7,0.000,47
WOSG.L,Watches of Switzerland,UK,Consumer Cyclical,4.4639999999999995,-36.59,1033023680,Small,14.879998,36.6,4.90,4.21,4,4,0.000,59
CURY.L,Currys,UK,Consumer Cyclical,1.355,-6.36,1417362944,Small,11.291667,31.3,1.45,1.32,4,4,0.000,58
DRX.L,Drax Group,UK,Utilities,8.77,113.38,2955893504,Mid,43.850002,48.8,8.84,7.59,0,5,0.000,61
PNN.L,Pennon Group,UK,Utilities,5.08,-65.26,2396987136,Mid,101.6,31.9,5.58,5.14,4,4,0.000,50
ONT.L,Oxford Nanopore,UK,Healthcare,1.198,-78.02,1158646016,Small,,41.9,1.38,1.49,4,4,0.000,45
RPI.L,Raspberry Pi,UK,Technology,3.1,-13.89,599855040,Small,103.333336,46.8,3.12,3.70,6,0,0.000,28
PLUS.L,Plus500,UK,Fintech,41.980000000000004,200.29,2937159936,Mid,14.833922,49.7,42.55,35.11,0,8,0.000,78
TATE.L,Tate & Lyle,UK,Consumer Defensive,3.294,-62.19,1454909056,Small,47.05714,26.9,3.75,4.34,9,7,0.000,41
VTY.L,Vistry Group,UK,Consumer Cyclical,3.455,-67.74,1099636736,Small,8.226191,12.3,6.03,6.24,8,7,0.000,42
BBY.L,Balfour Beatty,UK,Industrials,7.45,150.00,3602853632,Mid,14.326923,49.3,7.41,6.49,0,6,0.000,68
QQ.L,QinetiQ,UK,Industrials,4.772,43.13,2494319104,Mid,,38.5,5.03,4.85,2,5,0.000,61
BAB.L,Babcock International,UK,Industrials,12.75,410.00,6350666240,Mid,22.767857,35.5,14.00,12.08,2,3,0.000,56
ALFA.L,Alfa Financial Software,UK,Technology,1.514,12.15,448308480,Small,15.139999,19.4,1.93,2.17,8,5,0.000,39
IDOX.L,IDOX,UK,Technology,0.706,14.61,322587904,Small,70.6,49.7,0.71,0.65,2,6,0.000,50
FDM.L,FDM Group,UK,Technology,1.114,-89.39,121801912,Small,7.9571424,14.2,1.42,1.47,10,7,0.000,54
MONY.L,Moneysupermarket.com,UK,Technology,1.58,-42.75,824654784,Small,10.533333,40.3,1.69,1.92,6,0,0.000,42
CARD.L,Card Factory,UK,Consumer Cyclical,0.63,-10.64,217864656,Small,5.25,30.2,0.69,0.88,7,2,0.000,42
CWK.L,Cranswick,UK,Consumer Defensive,51.800000000000004,48.51,2771621632,Mid,19.185184,42.6,52.53,51.40,2,5,0.000,65
SMWH.L,WH Smith,UK,Consumer Cyclical,5.375,-71.01,670234688,Small,,28.4,6.41,7.62,10,7,0.000,43
PETS.L,Pets at Home,UK,Consumer Cyclical,1.816,-51.86,802940352,Small,10.682353,25.4,2.04,2.18,9,7,0.000,57
HWDN.L,Howden Joinery,UK,Consumer Cyclical,7.825,6.40,4217968384,Mid,15.969387,31.5,8.58,8.45,2,4,0.000,55
JDW.L,J D Wetherspoon,UK,Consumer Cyclical,5.555,-56.90,585528384,Small,9.745614,17.2,6.97,7.03,10,7,0.000,52
MARS.L,Marston's,UK,Consumer Cyclical,0.523,-43.64,330964672,Small,4.7545457,33.2,0.60,0.49,4,4,0.000,64
WINE.L,Naked Wines,UK,Consumer Cyclical,0.66,-90.54,44778932,Small,,36.3,0.73,0.76,6,0,0.000,34
CMCX.L,CMC Markets,UK,Fintech,3.395,-27.38,945138944,Small,14.760869,61.5,3.25,2.65,0,6,0.000,73
RAT.L,Rathbones Group,UK,Financials,20.25,20.11,2082229504,Mid,19.285715,38.6,21.52,19.14,2,5,0.000,64
INVP.L,Investec,UK,Financials,5.61,185.38,3546195200,Mid,8.63077,33.3,6.08,5.67,2,5,0.000,67
OSB.L,OSB Group,UK,Financials,5.365,23.79,1890811776,Small,7.2499995,29.4,5.97,5.67,3,10,0.000,70
ASHM.L,Ashmore Group,UK,Financials,2.0140000000000002,-50.10,1312973824,Small,11.847058,31.2,2.31,1.86,4,5,0.000,67
BVXP.L,Bioventix,UK,Healthcare,14.5,-65.48,75760472,Small,10.13986,35.4,16.54,21.61,5,4,0.000,48
PRTC.L,PureTech Health,UK,Healthcare,1.156,-70.55,279531264,Small,8.892308,30.4,1.27,1.28,6,0,0.000,45
TSTL.L,Tristel,UK,Healthcare,3.8000000000000003,-37.09,182139856,Small,23.75,39.2,4.05,3.85,2,2,0.000,50
MGNS.L,Morgan Sindall,UK,Industrials,42.1,147.07,1980052736,Small,11.859155,30.0,48.65,46.08,2,8,0.000,69
RNWH.L,Renew Holdings,UK,Industrials,8.51,58.77,673681600,Small,15.196429,30.8,9.15,8.78,2,3,0.000,57
RWS.L,RWS Holdings,UK,Industrials,0.763,-87.51,283147200,Small,,43.0,0.81,0.84,4,4,0.000,47
BREE.L,Breedon Group,UK,Materials,3.22,-32.21,1116297984,Small,13.416667,40.0,3.42,3.52,6,0,0.000,46
VCT.L,Victrex,UK,Materials,5.39,-73.78,469437632,Small,16.84375,19.9,6.69,6.84,8,7,0.000,47
CKN.L,Chemring Group,UK,Industrials,46.050000000000004,78.14,1420571776,Small,21.619717,63.6,42.77,37.40,2,7,0.000,71
AVON.L,Avon Protection,UK,Industrials,17,-48.64,503850752,Small,68,34.3,18.22,19.15,6,0,0.000,30
SNR.L,Senior plc,UK,Industrials,2.66,127.54,1099643904,Small,44.333336,44.5,2.61,2.08,5,6,0.000,58
BBOX.L,Tritax Big Box REIT,UK,Real Estate,1.472,-17.30,3977523712,Mid,8.658823,29.3,1.63,1.50,2,9,0.000,68
PHP.L,Primary Health Properties,UK,Real Estate,0.923,-36.78,2395267840,Mid,13.185715,24.4,1.04,0.97,4,9,0.000,66
SUPR.L,Supermarket Income REIT,UK,Real Estate,0.812,-23.76,1011946240,Small,16.24,36.2,0.85,0.81,4,4,0.000,59
HMSO.L,Hammerson,UK,Real Estate,3.2060000000000004,-8.43,1699770240,Small,6.9695654,39.8,3.44,3.12,2,4,0.000,61
SHED.L,Urban Logistics REIT,UK,Real Estate,1.56,4.70,0,Small,,39.5,0.98,1.11,4,8,0.000,46
SFOR.L,S4 Capital,UK,Communication,0.19460000000000002,-95.93,129021288,Small,,37.9,0.22,0.22,2,5,0.000,51
GENL.L,Genel Energy,UK,Energy,0.5650000000000001,-69.79,156606016,Small,,42.2,0.60,0.62,6,0,0.000,34
